"","id","cocina","rango_precios","calificacion","numero_calificaciones","direccion","horario","comentarios","ranking"
"355",355,"Cubana","No disponible",4,5,"Calle 99 # 52 – 53 Centro Comercial Buenavista II, Barranquilla Colombia",NA,"rico y saludablees un muy buen ambiente agradable limpio tiene comida deliciosa y con sabores muy buenos comer sano nunca antes haba sido tan rico los precios estn bien el personal es atento el lugar es autoservicio es comida rpida pero sanacomida sanaes una buena opcin si se quiere comer algo rico pero bajo en caloras encontr buena la calidad de la comidasaludableuna buena opcin para mantenerse saludable recomenada cualquier ensalada cryspi con pollo o mariscos delicosos batidosmuy buena comida saludablelos wraps y las ensaladas son muy buenas los jugos se nota lo saludable en el sabor hay que probarlos todosla quinoa muy bien preparadamuy pequeo pero buena opcion de comida saludablesiempre esta lleno todo es rico super saludable sus opciones pero siempre encontaras esto lleno es como para comprar e irte muy pequeo esta dentro de un centro comercial y es una buena opcion rapida y saludable sus wraps son muy ricos el desayuno aquies buena opcion ya que esta mas vacio y puedes encontrar donde sentarte y estar comodo un rato aqui disfrutando de las delicidas fitms","#268 de 503 restaurantes en Barranquilla"
"356",356,"Cubana","Bajo",4,5,"Calle 3A- 24-104 Local 1 Victor's Casual Foods, Puerto Colombia 080001 Colombia",NA,"carisimo y malisimono pidas comida en este lugar no solo e cara sino tambin deja mucho que desear tanto en calidad como en cantidadlos mejores chuzos desgranados este es uno de mis favoritos en comida rpida lo visitamos desde sus inicios y afortunadamente han mantenido la relacin adecuada entre calidad cantidad y precio deliciosos sus desgranados y sus perros calientes a la plancha acompaados de sus exquisitas salsas los precios son buenosel servicio excelente lo recomiendomsme encantame encanta comer aqu siempre son amables sirven rpido el ambiente es agradable la comida deliciosa quiero aclarar que queda en el barrio villa campestre de barranquilla toda la comida est recomendada hay un espacio al aire libre y otro con aire acondicionado tambin haypantalla gigante para ver los partidos sper recomendadomsmuy bueno muy bueno la comida es deli a buen precio exelente lugar y el servicio muy bueno no son los mejores chuzo de la ciudad pero si son buenos y si pienso que el lugar debera estar un poco ms conocido por tripadvisorexcelente comidala mejor comida rpida de villa campestre recomiendo el chuzo desgranado los perros hambuguesas y jugos naturales no se demoro y la comida rica y caliente recomendado","#20 de 24 restaurantes en Puerto Colombia"
"357",357,"Cubana","Bajo",4,1,"Carrera 52 84 64, Barranquilla 080020 Colombia"," Cerrado ahora:  Ver todos los horarios","buen lugarlos precios son buenos la comida es buena y la atencin tambin en general es un buen lugar pero no encontr algo que resaltara en extremo","#419 de 503 restaurantes en Barranquilla"
"358",358,"Cubana","Medio",4,45,"Kra 59 c # 81 - 12, Barranquilla 080001 Colombia",NA,"psimo serviciola atencin al cliente sper psima me hicieron esperar ms de 40m y mi pedido llego incompleto no fue lo que ordene que decepcin de lugarohh sorpresapense en comprarpany me encontre que ahora tambien tiene restaurantemuy buen desayunorecomiendo los chicharronesmuy demorado para grupos grandesmuy demorado para grupos grandes no permiten llevar torta de cumpleaos la comida es normal tiene buena msicapara compartir con amigos y familiamuy buen ambiente con msica agradable buena comida y cerveza michelada para compartir un rato con amigos y familia los mejores postres buen serviciomal servicio siempre acostumbra a ser el servicio muy lento los platos se demoran mucho unos huevos 50 min un capuchino 30 miny otros ms de una hora acostumbran a darte una canasta de pan de cortesa hoy que es festivo no dan nada el capuchinolo dan con una galletita que tampoco la dan psimo esto te daa la comida por buena que estmspanadera y postres sus servicio general se centra en la panadera de la cual tienen gran variedad desde los tradicionales hasta pan francslos postres tambin son muy buenos y diferentes opciones tanto porciones personales como pudines para toda ocasintambin cuentan con una terrazaexterna para comery tomar cafmsrecomendado chicharrn los chicharrones son deliciososuna buena opcin para compartir como entradacarta amplia y precios acordes a lo ofrecido desayunopsimo serviciocambio de administracinun ejemplo del psimo servicio es demorarse una hora para entregar una arepa con huevofuimos pacientes en esperar y luego del tiempo esperado la administradora llego diciendo ya solucione recomiendo buscar otro lugar para desayunardesayunos deliciosos y nicos en barranquillapara un tursta que no sea de los departamentos de la costa es importante poder comer un desayuno tipo americano al que se viene acostumbrado y este es el sitio ya que en la costa se desayuna mucho con fritos aunque es algo costos eneste lugar se puede encontrar deliciosos y saludables desayunos sin estar cargados de fritos lo recomiendomsbuen sitio para desayunar muy buen sitio para desayunar platos tpicos atencin pronta y buenos preciosfcil acceso y parqueo se recomienda de manera simultnea visitar la panadera de muy buen sabor y consistencia el pande recomienda el restaurante para desayunos en familia por lo prctico de losmismosms","#197 de 503 restaurantes en Barranquilla"
"359",359,"Cubana","Bajo",4.5,11,"Cra 71A Calle 92 Esquina Villa Carolina, Barranquilla 080001 Colombia",NA,"una hamburguesa sin papasno lo esprimeroel precio me parece excesivo para las condiciones en las que te toca comersisi es un foodtruck pero eso no justifica el preciosegundo no venden papastercero muy buena hamburguesa se nota que todo con lo que la arman es de buena calidadfantastica burger callejeraes increble es una perfecta hamburguesate sorprender que en un camion de piepuedas encontrar todo el sabor clsico de la hamburguesa casera fresca sabiendo a buena carne jugosavale la pena buscar donde estn generalmente en el parking de la iglesia sancharbel en el barrio villa carolina al norte de barranquilla recomendadoadictivamsgracias esperamos que vuelva prontopidan la salsa ranchera para todoped la hamburguesa con queso y tocineta y estaba rica pero me arrepiento de no haberle echado la salsa ranchero lo que s hizo uno de mis acompaantes le da un sabor totalmente diferentemantiene los mismos precios que manejan los dems food trucks paralas hamburguesas pero los precios s son ms econmicosme gustara que vendieran papitas fritas aparecen en el men pero nunca estn disponiblesmsexquisita hamburguesasus productos siempre son frescos de alta calidad y exquisito atienden super bien los empleados una alternativa rapida economica y deliciosapersgueloes un food truck que por lo general se ubica en un barrio residencial al norte de barranquilla llamado villa carolina junto a la iglesia san charbel as que un buen plan puede ser ir a misa y luego pecar si estas a dieta conuna hamburguesa con queso la carne es fresquita y le aplican unas especias que le dan un buen sabor repetiblemsmenu muy buena calidad aunque son una good truck y no tienen sitio para sentarse vale la pena comprar para llevar ya que son hamburguesas diferentes muy jugosas y de muy buena calidadgracias por sus comentarios para nosotros es sumamente importante proximamente tendremos domicilios para su comodidadbuena hamburguesa a buen precio estuve hace dos dias comiendo la atencin es muy buenala hamburguesa con queso es buenano son muy grandes pero queda uno satisfechola carne es muy jugosano dan sillas pero al frente aun parque donde puedes esperartu pedido el cual es bastante rpido 6 minutos msagradecemos su opinion espero vuelva prontollo amooolas mejores hamburguesas de barranquilla sin lugar a dudas es deliciosoooo varan el men lo que hace que los comensales queramos volver a ver con que nos sorprendern sper recomendadobuen burgueres barato y habe carne de calidadbuenas hamburguesasen barranquilla la cultura de los burgueses es realmente grande este es uno en la listacalle burguer4 dollar burguercalidad precio mejor por menos de 4 dlares debuena carne es genial5 estrellas por el preciosiempre es una buena oferta top 7 en barranquillams","#282 de 503 restaurantes en Barranquilla"
"360",360,"Cubana","Bajo",3.5,5,"Calle 50a 76 30 Piso 1, Barranquilla 080010 Colombia",NA,"espectacularhamburguesas nada convencional del tipo comida basura carne carne de primera calidad queso espectacular pan exquisito atencin extraordinaria y un ambiente de lujo con buena msica de fondo y una decoracin muy muy medida si te gusta lo bueno te sentirs como en casafelicidadespor el concepto que tenis volveremosmsno lo recomiendomuy demorado el servicio mas dehora para que me sirvieran y cuando por fin llego laspapas estaban pasadas de salbuenas hamburguesas llegamos a este lugareos recomendacin y debo decir que en realidad las hamburguesas estuvieron muy buenas tienen una buena relacin costopresentacinlo recomiendolo que no recomiendo para nada es la limonada con yerbabuena no tenia nada buen sabor sugerencia para el restaurante como esun lugar pequeo no deberan dejar entrar a todos los domiciliaros al mismo tiempo rappi uber eats ifoodetc o podran esperar en la terraza del lugar ya que puede llegar a incomodar a los clientesmsbuena relacin precio calidaden nuestra primer visita pedimos una bendicin y una italianisima la primera con un sabor muy original resaltando el sabor de la carne recomendado 100 la italianisima tenia muy marcado el sabor al puesto para mi gusto prefiero resaltar el sabor de la carne peroentiendo que no todos gustamos del mismo placer el lugar la carta la msica y la atencin fueron muy buenasms","#390 de 503 restaurantes en Barranquilla"
"361",361,"Steakhouses (Carnes)","Alto",4.5,223,"Carrera 49C # 76-164, Barranquilla 080020 Colombia"," Cerrado ahora:  Ver todos los horarios","recomendado en barranquilla muy agradable el ambiente qued muy lindo despus de la remodelacin la comida de excelente sabor recomendada la entrada de pulpo sobre pur de pltano y crocante de parmesanoalmuerzo muy buena la carne de res y de cerdolas entradas de chorizochicharron pataconessueropicantechimichurrihambuguesitassitio es cmodo buena atencion los precios altosy la porcin de la punta picante muy pequearecomendadoun restaurante a la altura de los mejores con sus extraordinarias carnes un muy buen servicio y unos vinos excelentes lo recomiendo totalmentela tradicin a la altura recin llegado a la hermosa ciudad de barranquilla pregunt por los restaurantes ms relevantes y tradicionales de la ciudad personas de muy alta concepcin gastronmica coincidieron en la visita obligatoria a este hermoso lugar la comida es de categora muy superior enserio no exagero esun lugar de tradicin y simplicidad pero con la calidad de un restaurante de nivel mundial el servicio es de altura y la locacin muy al estilo de la ciudadmslas mejores carnes de colombia de acuerdo con los evaluadores de restaurantes que lo califican como el de las mejores carnes restaurante de carnes maduradas excelentes que las hacen suaves jugosas y sabrosasel servicio es excelente los platos son servidos con elegancia y en la cantidad adecuadachurrasquerialas carnes estn bien cocinadas al trmino que uno elijahay variedad de acompaantes para elegirla atencion es normal pero en ocasiones se demoran con el pedido el precio de los platos es costoso en generaldecepcionantefui al restaurante porque me lo haban recomendado bastantes veces ped punta de anca a la pepe la carne sali muy dura adems con rilas y nervios no pareca que fuera punta de anca por otra parte lo ped trmino medio y me lo entregaronrare las salsas son bastante rescatables pero la yuca estaba fibrosa y con pabilo por cortesa de la casa dan patacones que estaban realmente deliciososlos empleados del lugar son muy atentoslas instalaciones son agradablesmsla mejor carne de barranquillala carne ms jugosa que he probado en barranquilla con raciones muy grandes estaba tan buena que les puedo perdonar poner una cubitera para el vino tintobuena carne no espectacular creo que es un muy buen sitio para almorzar un buen corte de carne pero le queda faltando algo para sorprender y robarte la admiracincomo entrada las mini hamburguesas son deliciosasrecomiendo el tomahawk como plato principal pues lo cortan y sirven en lamesamsestuvo bueno pero no excelente haba escuchado muy buenos comentarios del lugar ped un bife de chorizo la coccin fue muy buena pero la calidad de la carne no fue la mejor ninguno de los tres platos tuvieron una buena calidad del corte de la carne","#23 de 503 restaurantes en Barranquilla"
"362",362,"Steakhouses (Carnes)","Alto",4.5,137,"Carrera 52 76 - 188 Local 7, Barranquilla 080020 Colombia",NA,"sitio ameno para ir en familiaun excelente serviciosin embargo por las opiniones de otras personas desidi irpero en sabor no me parecio como que de otro mundolos meseros hacen un excelente trabajohacen sus recomendacionespero el sabor no los acompana en mi opinion personalexcelente atencin comida y rapidez insuperableme encant el restaurante los platos eran deliciosos la atencin fue de primera y nos sorprendi lo rpido que llegaba la comida el ambiente muy lindo y agradable estuvimos solo 3 das en barranquilla y fuimos dos vecesexcelente sitio para disfrutar buenos cortes de carne excelente sitio con una muy buena carta buenos sabores y excelentes cortes deliciosas entradas y una amplia variedad de vinos recomendado 100verdadero steakhouseestaba indeciso entre tres steakhouses viendo las fotos me decid por este era lo q estaba buscando un sitio elegante con carne de primera no me defraud servicio impecable de todo el personal desde la entrada hasta la mesa ped un ny steak muy buenolas papas trufadas lo mejor super recomendadomsfalto una buena atencion para ser un 9buenos platos sus costillitas son especialesel sitio agradablelamentablemente el personal que atiende no es nada querido mas bien despotas empezando por el capitn de meseros que mal de verdad opaca la calidad de la gastronomade los mejoresde los mejores restaurantes de carnes el t bone la entraa y el new york deliciosamente preparados en su trmino las guarniciones deliciosas costoso pero vale cada centavo la atencin buena sin queja de este sitiosi eres amante de las carnes este es el lugar para tiel lugar es hermoso y la atencin fui hace poco y mis platos preferidos son el dip de espinaca las costillas bbq las mini burgerel t bone por supuesto y para terminar un delicioso pie de limon orgasmicooode mis favoritos la experiencia es relativamente neutra pero sus platos recomendados son verdaderamente una excelente eleccin para gastronoma de nuevos comensales la atencin es buena y el lugar muy agradableexcelente restaurante de carnesexcelente restaurante de carnes buena seleccin de vinos y postres la atencin insuperableel postre de nutella demasiado deliciosoun 5 estrellas en carnessimplemente es uno de los mejores de carnes en colombia est en otro nivel es costoso indudablemente pero es exquisito","#24 de 503 restaurantes en Barranquilla"
"363",363,"Steakhouses (Carnes)","Medio",4.5,198,"Calle 82 Calle 93 # 47-33, Barranquilla 080001 Colombia"," Cerrado ahora:  Ver todos los horarios","casi me sale carne por los odosllegue a un almuerzo de domingo con mi novia la atencin desde el minuto 1 fue increble comenzando con todos los protocolos de bioseguridad y siguiendo con la calidez y amabilidad del personal mi pareja pidi una parrilla mixta y yo un rodizio de carneya que normalmente como mucho ms que ella a los 2 minutos de hacer el pedido ya tenia en la mesa la primera tanda de carne a pesar de que no logr probar los 14 cortes de carnes solo pude con 11 10 y medio si me pongo quisquilloso qued extremadamente satisfecho tuve que rechazar en 3 diferentes ocasiones las invitaciones del mesero a servirme otros cortes de carne incluso despues de esto se acerc el metrie a la mesa a sugerir una pausa para continuar sirviendo carne y ademas regalarnos una pia asada a que amablemente tuvimos que declinar ya que la pia no es de nuestro agrado y mencionarle que ya no poda seguir comiendopor otra parte la parrilla mixta que pidi mi novia fue suficiente para que ella quedara satisfecha y se llevara ms de la mitad del plato de vuelta a casa en resumen super recomendado el restaurante por su atencin y comidamsrodizio lo mejorla atencin es excelente fuimos sin reserva y nos ubicaron bien el rodizio es excelente y a muy buen precioel ultimo corte es filet mignon asi que trata de no llenarte para que tengas espacio para probar esta deliciafalta muchovisite este rodizio y las carnes fatales falta de maduracion sin sal se tardan entre corte y corte a un acompaante le sali la carne de mal aspecto y sabor terrible pobre barra de ensaladas diria que mediocre rescato los platanitos pero nuestra visita esa comer buenos cortes de carnemsbunena atencin carn seca para m gustomuy rico servicio estupendo carne poco seca pero muy buen sabor la pia espectacular y la picada la mejor de todasaltamente recomendadodeliciosa churrasquera me encant la variedad de cortes de carnes de los que se pueden escoger ademas de recibir calidad por los buenos precios que ofrece el restaurante es un lugar muy agradable para comer y pasarla bien adems es limpio con excelente atencin realmentelo recomiendo y definitivamente volveremosmsno es lo que se imaginan pobre calidad y deficiente servicio a la mesa psimas experiencias en dos visitas en das diferentes la primera vez hace menos de un ao en el local de la calle 82 cortes de carne muy pequeos y de dudoso origen los meseros parece que tuvieran la misin de no permitirle al comensal msde una hora en el sitio se esmeran en servirte la variedadinsisto que de calidad muy regular con un intervalo de tiempo muy corto la que anuncian como barra de ensaladas no es ms que una limitara variedad de vegetales y pastas con algo de anti pasto de pobre frescura y baja calidad de lo ingredientes y aderezos el local puede ser como en la calle 82 pero nada especial para justificar sus precios creo que estos sitios estn sobredimensionados por un tipo de cliente que no espera mucho del formato rodizio ma all de satisfacersu apetito creyndose las promesa de que podr probar entre siete y catorce cortes de carnes mucho peor en el nuevo local que recin abrieron en la carrera 43 con calle 80 invitados para una recepcin matrimonial en un saln de mezquino espacio con limitada rea de circulacin estando ya recin sentado a la mesa inclusive el mesero tiene que pedir colaboracin a los invitados para que se acomoden mejor para dejarlo pasar con su bayoneta de carne vi cmo salpicaron de grasa a dos comensales que tena cerca uno de los meseros con actitud algo grosera exigiendo que se deba estar atento a su llegada para colaborarle con las tenazas al tiempo que l cortaba los acompaantesde la carne muy pobres desde unas papas con salsa criolla hasta su palatino maduro supuestamente asado en sntesis que desperdicio de sistema el que tiene esta ahora cadena de restaurantes de barranquilla deja mucho que desear frente otras opciones similares en el pas siendo los nicos en esta ciudad valdra la pena que reconsideraran ir a conocer estos restaurantes cuyo crecimiento no se explica en razn de su regular calidad gastronmica y deficiente servicio a la mesa no recomendablemsno vale la penano tienen variedadde carnes en el rodizio y la verdadno tienen tan buen gustono lo recomiendopor cierto eso q sirven las mejores carnes a lo ltimo es ms o menos verdad pero de igual son malas las carnesriquisimoun restaurante donde tienes varios salones y puedes celebrar cualquier fecha la comida es muy deliciosala atencin es excelente y el lugar es sencillamente hermoso acogedorme encantasi es por llenarse esta ok no me fue tan bien con las carnes por el precio yo esperabala deliciosa picaa de los rodizios pero no se asemeja el sitio es muy cmodo y el personal es atentopara mi gusto son realmente como 4 carnes interesantes picaapunta anchalomomorrillo las dems son mas de relleno costilla pollo chorizo corazones de pollo por mi lado queda chuleadomsacoso por propinael lugar es curioso agradable muy innovador el servicio de rodicio la carne es buena un poco salada el servicio rpido pero lo ms incomodo y canson de todo es la pedidera de plata desde que llegamos los meseros te dejan en claro que elservicio es voluntario a parte cuando fue el momento de cantar el cumpleaos nos dice el semero que la orquesta se llama tirame la liga terminaron de cantar y comienzan a decir que les demos la colaboracin que queramos que aparte de la propina que es el d10 les diramos algo para ellos aparte no obstante traen la cuenta y nos dicen en vos alta cuanto es cuanto es de propina y que aparte le diramos a ellos nos hicieron pasar pena porque estbamos invitando a un cumpleaero y el tener que enterarse de cuanto dio la cuenta osea fue feo canson no encontr diferencia entre la forma que ellos piden plata dentro del restaurante y como la piden los indigentes en la callemsbuenos das lamentamos mucho lo sucedido vamos a tomar las medidas necesarias para que esta situacin no se repita cordialmente marco castrogerente operativo","#28 de 503 restaurantes en Barranquilla"
"364",364,"Steakhouses (Carnes)","Medio",4,205,"Carrera 51B 79 97, Barranquilla 081007 Colombia"," Cerrado ahora:  Ver todos los horarios","almuerzoes un buen restaurante el pollo acompaado de unas pastas con queso es delicioso y las costillitas bbq de este lugar tambien son excelentesla vieja confiable para buena una carne ejecutivala vieja confiable para comerme una buena carne un da cualquiera buena relacin preciocalidad hay varios locales en barranquilla muy buena opcin para comer una buena carne a buen precio platos entre 30 mil y 40 milbuena opcinubicado en el centro comercial vivo 4to pisoagradable local carta variada ofrece happy hour de ccteles y cervezas no recomiendo los mojitos pedimos 3 y ninguno estuvo conforme platos bien presentados rico sabor excelente hamburguesassus hamburguesas son deliciosasla carne es deliciosa y sper bien sazonadaes un buen lugar para ir a comer con amigos o familiagracias por tu comentario nos complace saber que disfruto su tiempo en nuestro restaurante esperamos que vuelva prontomuy buena opcinlas hamburguesas son muy buenas lugar agradable bien ambientado y buena msica lo recomiendogracias por tu comentario nos complace saber que disfruto su tiempo en nuestro restaurante esperamos que vuelva prontocomida variadalas costillas y los asados son del otro mundo la especialidad del restaurante no recomiendo las hamburguesascordial saludo trojaazul gracias por compartirnos detalles de tu experiencia nos gustara conocer ms sobre el caso de la hamburguesa por lo cual te hemos solicitado mayor informacin por mensaje internolas mejores costillas de barranquillaestuve con mi mejor amiga y comimos delicioso las costillitas deliciosas y las mazorcas de entrada recomendadascordial saludo estefania gracias por disfrutar de nuestro grill te esperamos prontolo extraos en monteria la gente lo pideunos de los mejores restaurante haciendo mucha falta en la cuidad de montera ojala volvieran iba con toda mi familia y amigos cada vez que poda todos los fines de semana vuelvan comidas ricassshola juancamedrano gracias por preferirnos es un honor para nosotros saber que disfrutaste de nuestra parrilla y que hacemos parte de tus mejores recuerdos actualmente nos encontramos en barranquilla esperamos que cuando viajes puedas visitarnosbuensimo siempre pedimos las costillitas bbq las mejores de la ciudadprobamos coctelesnuevos con whiskynos gusto muchorecomendadoestaba llenocordial saludo julio gracias por elegirnos y disfrutar de nuestro ambiente y el sello nico de nuestro grill vuelva prontodeliciosoel restaurante buffalo grill es una buena opcin para comer est al frente del hotel barranquilla plaza y es un sector muy seguro para caminar la decoracin del restaurante es muy bonita y la comida exquisitahola juanjo gracias por venir a disfrutar de nuestra parrilla un placer para nosotros brindarte una excelente experiencia","#46 de 503 restaurantes en Barranquilla"
"365",365,"Steakhouses (Carnes)","Bajo",4.5,10,"Cr 43 87 40, Barranquilla 080020 Colombia",NA,"lo mejor en carnesestuve con mi esposa y realmente puedo decir que es la mejor carne que he podido comer en su punto exacto al pedido pude saborear un mixto que tena carne y cerdo hecho al trompo en leawaooo que sabor tan delicioso mi esposa pidi unbife chorizo y tambin estaba espectacular aparte un excelente servicio a la mesa lo o recomiendo al 100mscarne asada buena carne nada del otro mundo en verdad la carne q hacen al trompo sabe como cualquier carne asada y las cortes especiales son de calidad regular aparte de eso cuando se llena la atencin es psima pedi una picanha q es unos de suscortes insignas es grande para dos personas son 1000 gr lo sirven en una tabla de sal rosada del himalaya pero en realidad no es nada del otro mundo y si la sobas demasiado te puede quedar salada es jugoso el corte es bueno pero hasta ah nada extraordinario q te sorprenda en barranquilla hay otros sitios especializados en carnes con cortes de locos he ido dos veces pero ya no repetira masmsmuy buenas opciones y buenosmuy buenas opciones y buenos precios el tomahawk de locos jugoso y tierno los chicharrones sper crocantes y carnudosbuen servicio recomendado para volverdeliciososi te gusta la buena carne este es el sitio ideal el ambiente tambin es agradable y se recibe buena atencin recomendadoalmuerzo de sabadoesta vez nos fuimos por una entrada de chicharrones muy buenos acompaados de una yuca harinosa plato fuerte un bifechorizo el cual le falto un punto de sal el termino estaba bueno acompaado de una buena ensaladabueno para asados he estado 2 veces en parrillarte me ha parecido una buena oferta para comer carnes ofrecen buenas porciones y calidad y ahora hamburguesas luego de conocerla en elburguer master donde espero que esto le haya dado un impulso al restaurante ya que cuando heido lo veo slo lo cual no entiendo siendo tan bueno espero que parrillarte se mantenga en la ciudad lo recomiendomsmuy agradableel corte de la carne y su preparacin ea exquisita tierna y jugosa los precios son asequibles el ambiente muy agradablefamiliaestuvimos con la familia almorzando los chicharrones buensimos pedi un gran tomahawk que estaba increible la presentacion excelente con la piedra de sal del himalayarecomendadoun gusto comer allifuimos plan familiar un domingo cumplio nuestras espectativas la comida deliciosa la atencion ni se diga tienen actividades de pintucaritas para los nios nos fuimos muy contentos y sin duda repetiria tocaron unos muchachos violin y guitarra muy bonito lastima muy cortito jejejejbuen sitio para compartir en familiabuen lugar para pasar un rato agradable espacioso buena atencion buen sabor y tamao de porciones","#143 de 503 restaurantes en Barranquilla"
"366",366,"Steakhouses (Carnes)","Medio",5,10,"Cr43 84B-101, Barranquilla 080020 Colombia"," Cerrado ahora:  Ver todos los horarios","almuerzoesta vez punta gordabien asada de los restaurantes en la ciudad que mantienen su calidad asados al carbn ampliaron la zona de parqueorestaurante medioriente barranquilla muy buen restaurante buena comida y buen servicio deben ser amigables con el medio ambiente eliminando el uso de pitillo e icoporsorpresa culinariaexcelente sitio donde no solo se puede disfrutar de comida arabe deliciosa y muy bien preparada sino que encuentras una gran variedad de cortes de carnes para asado pollo y ub delicioso salmn gratinado con mariscos una delicia un precio aceptable rpida atencin fresca ensaladasi no te gusta el ajo dees aclararlo dado que desde la vinagreta el ajo es un protagonista principalmselmejor fatush de baqexcelente sitio para comer en dos ambientes al ir libre en su terrraza o interno con aire acondicionado excelente variedad d eplatos y sus especialidades rabes tachone especial hojas de parrael fatushelmejor de barranquillay el tradicional medio polloal carbnexcelente sabor y tradicin de las de 15 aosmsexcelenteexcelente servicio comida deliciosa precios asequiblespersonal atento y agradableplatos servidos en tiempos aceptablesexcelente restaurante en servicio y al paladar mi segunda oficinami segunda oficina no veo otra opcin cuando de amigos y negocios se trate todo lo que necesites dirigirse a quien te atiende y lo recibirspollo delicioso servicio agradable comida fresca un placertodo resulto muy bien la comida el asado los vegetales el servicio la terraza bien rico y relajantedelicioso mi favorito en barranquilla deliciosa comida arabe e internacional el humousla berenjenalos arrocesel medio pollo las costillas una delicia el servicio rpido y bueno lo recomiendouna delicia rabe mi corte favorito de carne el biffe de chorizo de ms de 500gr y termino 34tos y la pechuga gratinada con papas a la francesa del medio oriente comida buenisimaaa y deliciosaaaaa barranquilla colombia instafoodie instafood foodblogger love instagood instagram foodporn picoftheday followme likeforlikes like4likelike eat food foodphotography photooftheday foodie amazing tagsforlikes tasty yum yummy medioriente meat azaelfoodie maythefoodbewithyou followme instadaily artms","#112 de 503 restaurantes en Barranquilla"
"367",367,"Steakhouses (Carnes)","Medio",3.5,9,"Carrera 43 74 75, Barranquilla 080020 Colombia",NA,"visitafui a comer all x q pens q eran especialistas en ese tipo de carnes pero me equivoque de punta gorda slo es el nombremala calidadel da 25 de octubre visitamos dicho restaurante la comida o la punta gorda no es la mejor donde lapreparan en lo mismi q la sirven grasa x todos los lados la blusa me la ensucie en tres partes la carne como tal esmala yo personalmente diria q no es punta gorda es como si fuera una carne frita lo nico q ud encuentra en grasa grasa y ms grasa honestamente no nos gust creo q el nombre del restaurante no es el adecuado pens q eran especialistas en ese tipo de carnemsalmuerzo de domingoideal restaurante para asados un magnifico bifechorizo en un punto maravilloso la punta gorda muy buena estos platos son sus fuertesbuen bifeexcelente la punta gorda y el bife chorizo en su punto buena variedad de carnesun sitio recomendado para el conocedor de asadosme encantacuando entra este restaurante se siente mediatamente la atmsfera positiva llena de gente msica en vivo tpica colombiana muy bonito todo el servicio es espectacular y la comida la carne deliciosa pedimos bife chorizo y crame estaba absolutamente para chuparse los dedos la carne en34 estaba perfecta en sabor y maduracin tenemos que volver gracias a todosmsan me pregunto si se especializan en carnesel servicio muy malo pedimos un churrasco y una sobre barriga el churrasco pareca carne asada creo que an no saben diferenciar los cortes y el sobre barriga pareca ms al mondongo en textura y sabores lo nico rico era la limonada y cuando mefui a quejar con la gerencia no me dijeron nada solo se rieron de mis comentariosmsmejor atencin imposibleestuvimos hace apenas ocho das en la punta gorda y pedimos dos bife chorizo con mi esposa a tres cuartos y les puedo decir que estaba absolutamente delicioso mi esposa sueca comparo el bife chorizo de punta gorda con los mejores cortes de reno desu pas dijo que era la mejor carne que ha comido en colombia en seis aos y tiene toda la razn el precio por esa calidad de corte es excelente la atencin la limpiezala pulcritud el servicio la msica caribea en vivo nos hicieron pasar un rato muy agradable volveremos cuando v a ir a barranquilla que espero sea para este carnavalmsnoche de boleros y baladas excelente restaurante la atencin del propietario y su preocupacin por que el cliente disfrute el momento es una de las razones para sentirse como en casa y satisfecho por la eleccin de comer brindar y bailarmuy buenoun sitio acogedor la atencin buena la comida muy buena un poco reducido el parqueadero pero en trminos generales un buen lugar","#304 de 503 restaurantes en Barranquilla"
