"","Familia","Departamento","Genero","Edad","Parentesco","Estado.civil","Nivel.educativo.alcanzado","Empleo.antes","Rama.actividad","tiempo.en.colombia","Horas.disponibles"
"26","4804848 - 1","Region Norte 1","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","No","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"27","4804848 - 1","Region Norte 1","Femenino","(14,18]","Nucleo familiar","Soltero","Media (10o -13o)","No","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(0,39]"
"28","4804848 - 1","Region Norte 1","Femenino","(14,18]","Nucleo familiar","Soltero","Básica secundaria","No","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(0,39]"
"29","4804868 - 1","Region Norte 1","Femenino","(59,100]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]"
"30","4805004 - 1","Region Central 1","Femenino","(18,26]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"31","4805004 - 1","Region Central 1","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"32","4805004 - 1","Region Central 1","Masculino","(14,18]","Otros parientes","Soltero","Media (10o -13o)","Si","Construcción","Menos de 1 año","(48,130]"
"33","4805026 - 1","Region Central 1","Femenino","(59,100]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"34","4805028 - 1","Region Central 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"35","4805028 - 1","Region Central 1","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]"
"36","4805035 - 1","Region Central 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]"
"37","4805035 - 1","Region Central 1","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades de servicios","Menos de 1 año","(48,130]"
"38","4805040 - 1","Region Central 1","Femenino","(26,59]","Jefe de hogar","Soltero","Superior o universitaria","Si","Otras actividades de servicios","Menos de 1 año","(48,130]"
"39","4805067 - 1","Region Central 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(39,48]"
"40","4805067 - 1","Region Central 1","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Superior o universitaria","No","Actividades culturales y deportivas","Menos de 1 año","(48,130]"
"41","4805124 - 1","Region Central 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Informática y actividades conexas","Entre 1 y 5 años","(48,130]"
"42","4805180 - 1","Region Norte 2","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades de servicios","Entre 1 y 5 años","(48,130]"
"43","4805187 - 1","Region Norte 2","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades de servicios","Entre 1 y 5 años","(39,48]"
"44","4805187 - 1","Region Norte 2","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]"
"45","4805201 - 1","Region Norte 2","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","Si","Otras actividades empresariales","Mas de 5 años","(39,48]"
"46","4805204 - 1","Region Norte 2","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","No","Otras actividades empresariales","Mas de 5 años","(39,48]"
"47","4805239 - 1","Region Norte 2","Femenino","(18,26]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Otras actividades de servicios","Menos de 1 año","(39,48]"
"48","4805245 - 1","Region Norte 2","Masculino","(26,59]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","No","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"49","4805248 - 1","Region Norte 2","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"50","4805248 - 1","Region Norte 2","Femenino","(18,26]","Nucleo familiar","Soltero","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"51","4805283 - 1","Region Norte 2","Femenino","(59,100]","Jefe de hogar","Separado y/o viudo","Ninguno/No_sabe","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]"
"52","4805298 - 1","Region Norte 2","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]"
"53","4805298 - 1","Region Norte 2","Femenino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","No","Otras actividades de servicios","Menos de 1 año","(0,39]"
"54","4805317 - 1","Region Norte 2","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Construcción","Menos de 1 año","(39,48]"
"55","4805317 - 1","Region Norte 2","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Otras actividades de servicios","Menos de 1 año","(48,130]"
"56","4805341 - 2","Region Central 2","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(39,48]"
"57","4805391 - 1","Region Central 2","Masculino","(18,26]","Jefe de hogar","Soltero","Media (10o -13o)","Si","Alquiler de maquinaria y equipo sin operarios","Menos de 1 año","(39,48]"
"58","4805391 - 1","Region Central 2","Masculino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","Si","Alquiler de maquinaria y equipo sin operarios","Menos de 1 año","(39,48]"
"59","4805391 - 1","Region Central 2","Masculino","(26,59]","Otros No parientes","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]"
"60","4805517 - 1","Region Cafetera 2","Masculino","(26,59]","Jefe de hogar","Soltero","Superior o universitaria","Si","Administración pública y defensa","Entre 1 y 5 años","(39,48]"
"61","4805565 - 1","Region Cafetera 2","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]"
"62","4805923 - 2","Region Norte 2","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Elaboración de productos alimenticios","Entre 1 y 5 años","(39,48]"
"63","4805923 - 2","Region Norte 2","Masculino","(14,18]","Nucleo familiar","Soltero","Media (10o -13o)","No","Otras actividades de servicios","Entre 1 y 5 años","(48,130]"
"64","4805935 - 1","Region Norte 2","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Construcción","Entre 1 y 5 años","(39,48]"
"65","4805935 - 1","Region Norte 2","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"66","4805935 - 1","Region Norte 2","Femenino","(26,59]","Otros parientes","Separado y/o viudo","Básica secundaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]"
"67","4805935 - 1","Region Norte 2","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","No","Construcción","Entre 1 y 5 años","(39,48]"
"68","4805935 - 1","Region Norte 2","Femenino","(26,59]","Otros No parientes","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]"
"69","4805935 - 1","Region Norte 2","Femenino","(26,59]","Otros parientes","Separado y/o viudo","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]"
"70","4805935 - 1","Region Norte 2","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(39,48]"
"71","4805950 - 1","Region Norte 2","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(39,48]"
"72","4805950 - 1","Region Norte 2","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Elaboración de productos alimenticios","Menos de 1 año","(39,48]"
"73","4805950 - 1","Region Norte 2","Femenino","(26,59]","Otros parientes","Separado y/o viudo","Media (10o -13o)","Si","Elaboración de productos alimenticios","Entre 1 y 5 años","(48,130]"
"74","4805960 - 1","Region Norte 2","Masculino","(18,26]","Jefe de hogar","Soltero","Básica secundaria","No","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"75","4805973 - 1","Region Norte 2","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]"
"76","4805973 - 1","Region Norte 2","Masculino","(14,18]","Nucleo familiar","Soltero","Media (10o -13o)","No","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]"
"77","4805973 - 1","Region Norte 2","Femenino","(26,59]","Otros parientes","Soltero","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]"
"78","4805974 - 1","Region Norte 2","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]"
"79","4805974 - 1","Region Norte 2","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hogares privados con servicio doméstico","Menos de 1 año","(39,48]"
"80","4805975 - 1","Region Norte 2","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades de servicios","Entre 1 y 5 años","(48,130]"
"81","4805975 - 1","Region Norte 2","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"82","4805986 - 1","Region Norte 2","Femenino","(18,26]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"83","4805986 - 1","Region Norte 2","Masculino","(26,59]","Otros parientes","Soltero","Básica primaria","Si","Actividades complementarias/auxiliares al transporte","Menos de 1 año","(39,48]"
"84","4806003 - 1","Region Norte 2","Femenino","(26,59]","Otros No parientes","Casado y/o union libre","Superior o universitaria","Si","Hogares privados con servicio doméstico","Menos de 1 año","(39,48]"
"85","4806003 - 1","Region Norte 2","Masculino","(26,59]","Otros No parientes","Casado y/o union libre","Media (10o -13o)","No","Construcción","Menos de 1 año","(39,48]"
"86","4806003 - 1","Region Norte 2","Femenino","(18,26]","Otros No parientes","Soltero","Media (10o -13o)","No","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]"
"87","4806013 - 1","Region Norte 2","Masculino","(26,59]","Nucleo familiar","Separado y/o viudo","Media (10o -13o)","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]"
"88","4806016 - 1","Region Norte 2","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","No","Actividades culturales y deportivas","Entre 1 y 5 años","(39,48]"
"89","4806016 - 1","Region Norte 2","Femenino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]"
"90","4806091 - 1","Region Norte 3","Masculino","(18,26]","Otros No parientes","Soltero","Media (10o -13o)","No","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]"
"91","4806097 - 1","Region Norte 3","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"92","4806163 - 1","Region Norte 3","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Construcción","Entre 1 y 5 años","(39,48]"
"93","4806163 - 1","Region Norte 3","Femenino","(14,18]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(0,39]"
"94","4806165 - 1","Region Norte 3","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(39,48]"
"95","4806165 - 1","Region Norte 3","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"96","4806241 - 1","Region Cluster 4","Masculino","(26,59]","Otros No parientes","Separado y/o viudo","Media (10o -13o)","No","Construcción","Entre 1 y 5 años","(39,48]"
"97","4806455 - 1","Region Suroccidente","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"98","4806455 - 1","Region Suroccidente","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"99","4806528 - 1","Region Cluster 4","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Ninguno/No_sabe","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"100","4806528 - 1","Region Cluster 4","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(39,48]"
"101","4806532 - 1","Region Cluster 4","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"102","4806532 - 1","Region Cluster 4","Masculino","(18,26]","Otros No parientes","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(0,39]"
"103","4806541 - 1","Region Cluster 4","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(39,48]"
"104","4806542 - 1","Region Cluster 4","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"105","4806542 - 1","Region Cluster 4","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Otras actividades empresariales","Menos de 1 año","(48,130]"
"106","4806542 - 1","Region Cluster 4","Masculino","(26,59]","Otros No parientes","Soltero","Básica primaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"107","4806550 - 1","Region Cluster 4","Femenino","(18,26]","Otros No parientes","Casado y/o union libre","Media (10o -13o)","No","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(0,39]"
"108","4806580 - 1","Region Cluster 4","Femenino","(26,59]","Otros No parientes","Separado y/o viudo","Media (10o -13o)","Si","Hogares privados con servicio doméstico","Menos de 1 año","(39,48]"
"109","4806594 - 1","Region Cluster 4","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(39,48]"
"110","4806594 - 1","Region Cluster 4","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Alquiler de maquinaria y equipo sin operarios","Entre 1 y 5 años","(0,39]"
"111","4806596 - 1","Region Cluster 4","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(0,39]"
"112","4806664 - 1","Region Norte 3","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Actividades complementarias/auxiliares al transporte","Entre 1 y 5 años","(48,130]"
"113","4806669 - 1","Region Norte 3","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"114","4806669 - 1","Region Norte 3","Masculino","(14,18]","Nucleo familiar","Soltero","Media (10o -13o)","Si","Elaboración de productos alimenticios","Entre 1 y 5 años","(0,39]"
"115","4806696 - 1","Region Norte 3","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"116","4806696 - 1","Region Norte 3","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(39,48]"
"117","4806696 - 1","Region Norte 3","Masculino","(18,26]","Nucleo familiar","Soltero","Media (10o -13o)","Si","Actividades complementarias/auxiliares al transporte","Entre 1 y 5 años","(48,130]"
"118","4806698 - 1","Region Norte 3","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica secundaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]"
"119","4806698 - 1","Region Norte 3","Femenino","(26,59]","Otros parientes","Separado y/o viudo","Superior o universitaria","No","Otras actividades empresariales","Entre 1 y 5 años","(0,39]"
"120","4806713 - 1","Region Norte 3","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Otras actividades de servicios","Entre 1 y 5 años","(48,130]"
"121","4806713 - 1","Region Norte 3","Femenino","(18,26]","Otros No parientes","Soltero","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"122","4806726 - 1","Region Norte 3","Masculino","(18,26]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(48,130]"
"123","4806728 - 1","Region Norte 3","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"124","4806728 - 1","Region Norte 3","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"125","4806728 - 1","Region Norte 3","Masculino","(18,26]","Otros parientes","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"126","4806728 - 1","Region Norte 3","Femenino","(18,26]","Otros No parientes","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"127","4806728 - 1","Region Norte 3","Masculino","(18,26]","Otros No parientes","Soltero","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"128","4806729 - 1","Region Norte 3","Femenino","(18,26]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]"
"129","4806729 - 1","Region Norte 3","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Actividades culturales y deportivas","Menos de 1 año","(0,39]"
"130","4806764 - 1","Region Norte 3","Masculino","(14,18]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","No","Construcción","Entre 1 y 5 años","(39,48]"
"131","4806764 - 1","Region Norte 3","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(0,39]"
"132","4806764 - 1","Region Norte 3","Masculino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","No","Construcción","Entre 1 y 5 años","(39,48]"
"133","4806764 - 1","Region Norte 3","Femenino","(26,59]","Otros parientes","Casado y/o union libre","Básica primaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]"
"134","4806764 - 1","Region Norte 3","Masculino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","No","Construcción","Entre 1 y 5 años","(39,48]"
"135","4806764 - 1","Region Norte 3","Masculino","(14,18]","Otros parientes","Soltero","Media (10o -13o)","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(0,39]"
"136","4806769 - 1","Region Norte 3","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"137","4806773 - 1","Region Norte 3","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(39,48]"
"138","4806773 - 1","Region Norte 3","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Correo y telecomunicaciones","Entre 1 y 5 años","(39,48]"
"139","4806791 - 1","Region Norte 3","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"140","4806792 - 1","Region Norte 3","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Ninguno/No_sabe","No","Construcción","Menos de 1 año","(39,48]"
"141","4806792 - 1","Region Norte 3","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","No","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"142","4806794 - 1","Region Norte 3","Femenino","(59,100]","Otros No parientes","Separado y/o viudo","Superior o universitaria","No","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]"
"143","4806801 - 1","Region Norte 3","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","No","Construcción","Entre 1 y 5 años","(39,48]"
"144","4806801 - 1","Region Norte 3","Femenino","(18,26]","Nucleo familiar","Soltero","Superior o universitaria","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(39,48]"
"145","4806801 - 1","Region Norte 3","Femenino","(26,59]","Otros No parientes","Soltero","Superior o universitaria","Si","Correo y telecomunicaciones","Entre 1 y 5 años","(48,130]"
"146","4806807 - 1","Region Norte 3","Masculino","(26,59]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","No","Fabricación de muebles / industrias manufactureras","Menos de 1 año","(48,130]"
"147","4806807 - 1","Region Norte 3","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Fabricación de muebles / industrias manufactureras","Menos de 1 año","(48,130]"
"148","4806946 - 1","Region Central 2","Masculino","(26,59]","Otros No parientes","Soltero","Media (10o -13o)","Si","Servicios sociales y de salud","Mas de 5 años","(39,48]"
"149","4807170 - 1","Region Nororiente","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Elaboración de productos alimenticios","Entre 1 y 5 años","(48,130]"
"150","4807177 - 1","Region Nororiente","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(48,130]"
